genes	logFC	logCPM	PValue	FDR
ENSG00000211445	ENSG00000211445	-3.59505220784427	7.30533329467053	4.46630883957828e-183	2.46514726179924e-180
ENSG00000149090	ENSG00000149090	-3.42289439529201	3.79912540893041	1.14637277545141e-182	6.15156368782511e-180
ENSG00000176438	ENSG00000176438	-2.88265921968321	4.57819267393408	1.86972228077922e-182	9.76197162705216e-180
ENSG00000168477	ENSG00000168477	-3.84901813332877	5.42948453834473	4.06518640147623e-181	2.0666123922031e-178
ENSG00000115306	ENSG00000115306	-1.99169995627548	8.53046139901308	1.35124752274646e-180	6.69317939600411e-178
ENSG00000118596	ENSG00000118596	-3.14107020343787	3.69250994584343	4.8969770862298e-179	2.36499508379468e-176
ENSG00000165810	ENSG00000165810	-3.68748313609791	4.19237014003103	1.10037063215249e-178	5.18462435900531e-176
ENSG00000135437	ENSG00000135437	-3.73036839373907	0.557745488683435	1.6323951871392e-178	7.50824052979882e-176
ENSG00000186642	ENSG00000186642	-2.92263714144259	3.85613609568234	5.06891933156223e-178	2.27724148016556e-175
ENSG00000174804	ENSG00000174804	-2.52159734768226	6.07038016582904	4.73038943459776e-172	2.07685597948999e-169
ENSG00000135424	ENSG00000135424	-3.22942652421576	4.86379704667491	6.48388638684463e-172	2.78346038269032e-169
ENSG00000124743	ENSG00000124743	-3.23621429384825	2.07752542083894	2.05516991585808e-171	8.6308200944666e-169
ENSG00000165028	ENSG00000165028	-2.60373577021587	2.32875512656563	5.48278298259521e-170	2.25354046080371e-167
ENSG00000077616	ENSG00000077616	-2.73432924090774	1.01645393128306	7.17676040325967e-170	2.88834703062855e-167
ENSG00000154736	ENSG00000154736	-3.04254007840002	4.71764528724622	3.06468144362922e-169	1.208235023021e-166
ENSG00000152270	ENSG00000152270	-3.57041899963935	3.9089547161066	1.19982055586577e-168	4.63562669964298e-166
ENSG00000166819	ENSG00000166819	-4.94957675394553	7.03435976481815	3.77767219535631e-167	1.43092296999791e-164
ENSG00000135917	ENSG00000135917	-4.74944188942889	4.22968141364231	1.01513903440956e-166	3.7712415128315e-164
ENSG00000173208	ENSG00000173208	-3.74059303492602	1.85885079837531	1.26835534155382e-163	4.62303556379939e-161
ENSG00000122729	ENSG00000122729	-1.87930370827301	5.97062554466036	1.3793051940456e-162	4.93433661825423e-160
ENSG00000170509	ENSG00000170509	-4.37162294916182	-0.00248207898147825	1.17701110637799e-161	4.13409100963817e-159
ENSG00000180354	ENSG00000180354	-2.41939098217685	5.83659930545717	1.04449442550974e-160	3.60313273428522e-158
ENSG00000116678	ENSG00000116678	-2.96184835467696	4.39820215669347	9.25087839029703e-160	3.13523629375014e-157
ENSG00000168497	ENSG00000168497	-3.6413998557868	4.37268586945012	9.64297705943258e-159	3.2117763936917e-156
ENSG00000137727	ENSG00000137727	-2.95202392106175	2.24653793082848	9.89868938575904e-159	3.24106578905242e-156
ENSG00000144908	ENSG00000144908	-4.32334110221272	2.84628762020899	1.16624952868048e-158	3.75493473250827e-156
ENSG00000174697	ENSG00000174697	-5.78792306335026	5.17424365504579	3.15786981536815e-158	1.00006113267675e-155
ENSG00000167779	ENSG00000167779	-3.02804089223266	4.29308311095196	4.62823178141919e-158	1.44206744441058e-155
ENSG00000167588	ENSG00000167588	-4.83241773537624	6.25509997274922	2.14038113417029e-156	6.56315599204788e-154
ENSG00000163710	ENSG00000163710	-4.48968457835555	4.14249777961839	1.48450873495074e-155	4.48089683465289e-153
ENSG00000167676	ENSG00000167676	-4.74408667901165	7.78144865629707	2.01372517842534e-155	5.9847912302801e-153
ENSG00000121691	ENSG00000121691	-1.8998654748176	6.82262267941502	5.7616495391417e-155	1.68641736056272e-152
ENSG00000255471	ENSG00000255471	-2.99787687728427	0.879588324847113	2.73380628088061e-154	7.88233876627638e-152
ENSG00000165269	ENSG00000165269	-4.68263638202675	3.78774227919023	2.99208809863392e-154	8.50017027785443e-152
ENSG00000145708	ENSG00000145708	-3.32869851724379	0.16369707296398	2.19604375420278e-153	6.14828597734628e-151
ENSG00000168079	ENSG00000168079	-4.7747301456561	3.89846727051262	3.5996809267781e-153	9.93409087764275e-151
ENSG00000004776	ENSG00000004776	-3.79080430995717	2.60435079958587	1.90326787967271e-152	5.17849702810105e-150
ENSG00000135218	ENSG00000135218	-4.03189985607126	7.810989567288	2.1980242032485e-152	5.89742104977145e-150
ENSG00000162733	ENSG00000162733	-2.5877738019398	6.2844259778009	4.19823597810651e-152	1.11097976198715e-149
ENSG00000165410	ENSG00000165410	-1.79244517222913	4.42757872068838	1.88673146772541e-151	4.92538898561075e-149
ENSG00000154258	ENSG00000154258	-3.46077272519061	3.30793681276241	2.86571011885127e-151	7.38130507679584e-149
ENSG00000108381	ENSG00000108381	-3.28918439620708	1.45425242493116	3.12812451411508e-151	7.95119860048357e-149
ENSG00000180914	ENSG00000180914	-4.01759501666042	5.26885133364683	2.52079308672718e-150	6.32424426615528e-148
ENSG00000109686	ENSG00000109686	-1.96268817285712	6.32192926688419	4.02154396923001e-150	9.96002389712633e-148
ENSG00000171227	ENSG00000171227	-2.79208016433469	4.11349524517956	7.15842751372604e-150	1.75046205962227e-147
ENSG00000101938	ENSG00000101938	-4.18706856856212	5.65293761087417	1.03110137696389e-149	2.48985205002356e-147
ENSG00000188536	ENSG00000188536	-4.23268181709611	2.51114731109488	2.30131933865092e-149	5.48850456593315e-147
ENSG00000279204	ENSG00000279204	-3.24639743113571	-0.0864656068700649	5.68845554157587e-149	1.34011687990442e-146
ENSG00000149124	ENSG00000149124	-5.37394376205039	1.41379017771705	7.29328178870599e-149	1.69748936860509e-146
ENSG00000134548	ENSG00000134548	-4.90948441005363	2.09911056597041	1.31951800723297e-148	3.03457724568172e-146
ENSG00000165124	ENSG00000165124	-3.08981475022116	5.60256397182331	6.46046909116068e-148	1.46827461062402e-145
ENSG00000161649	ENSG00000161649	-4.6498412119061	3.41003532837562	1.51944018583119e-146	3.41308668719616e-144
ENSG00000205726	ENSG00000205726	-1.7428913622232	5.75309959671246	6.544792194137e-145	1.45324477708435e-142
ENSG00000084674	ENSG00000084674	-4.85415503194224	0.818771569541117	4.42615083368205e-144	9.71640702330338e-142
ENSG00000182782	ENSG00000182782	-3.19523463676459	1.70220754003769	6.27209847393056e-143	1.36139773392574e-140
ENSG00000221866	ENSG00000221866	-3.14744943145813	4.22032982992888	2.4694381583019e-142	5.30051181578623e-140
ENSG00000174059	ENSG00000174059	-2.05460146606785	6.57315564435291	7.09907648256824e-142	1.50703252187091e-139
ENSG00000198624	ENSG00000198624	-2.67345849113021	5.19762826710714	1.42164628326027e-141	2.98514814130673e-139
ENSG00000157150	ENSG00000157150	-4.26528674572969	3.64534385588218	1.88334580432471e-141	3.91209400515534e-139
ENSG00000186205	ENSG00000186205	-2.54159382026324	4.0999513886448	2.19701960407397e-141	4.5151090118618e-139
ENSG00000077157	ENSG00000077157	-1.96972461834533	6.0563751299248	8.22300090162441e-141	1.67212559386927e-138
ENSG00000112964	ENSG00000112964	-3.03665562271917	5.02516369556834	8.61669075358928e-140	1.73392949976914e-137
ENSG00000129596	ENSG00000129596	-3.43780099233801	3.19933197111244	1.25567288444477e-139	2.50073080223753e-137
ENSG00000158571	ENSG00000158571	-3.29112040356542	1.52324707927758	1.62264700020626e-139	3.19860150510046e-137
ENSG00000236333	ENSG00000236333	-5.10870269267533	2.06000662565773	2.84361000067438e-139	5.54877353464927e-137
ENSG00000231246	ENSG00000231246	-3.6528113527256	1.50799390640721	4.6898589379412e-139	9.05986949631482e-137
ENSG00000124615	ENSG00000124615	-2.00966044604965	4.37965732895437	1.02487988008679e-136	1.96026034886302e-134
ENSG00000138207	ENSG00000138207	-4.42503609678777	4.7836420105249	1.47114163713049e-136	2.78622687706734e-134
ENSG00000170323	ENSG00000170323	-4.66588523943119	7.67495114591502	4.34773523036004e-136	8.15432516311605e-134
ENSG00000131386	ENSG00000131386	-3.12697598399303	4.43380587002571	4.9576628630209e-136	9.20885876806132e-134
ENSG00000215483	ENSG00000215483	-3.21194722838919	0.018785787468476	4.67825828668502e-135	8.60710415068392e-133
ENSG00000263155	ENSG00000263155	-2.9667004733807	1.84270596244753	4.90515041395165e-134	8.93940525440735e-132
ENSG00000162407	ENSG00000162407	-1.86183549551494	5.96774529002147	1.51203749958781e-133	2.72986359037731e-131
ENSG00000004799	ENSG00000004799	-3.38601091486508	6.68932983683485	1.28736442677243e-132	2.30271351818424e-130
ENSG00000151468	ENSG00000151468	-2.60490472002105	4.84676087811725	2.42511685784774e-132	4.29801903301859e-130
ENSG00000246430	ENSG00000246430	-3.82244534712253	0.0350120434353911	6.79223615318563e-132	1.19284016370218e-129
ENSG00000141338	ENSG00000141338	-3.62968871931683	4.24232911365569	1.18237439525101e-130	2.05775752859991e-128
ENSG00000177363	ENSG00000177363	-3.13961328632883	2.21642625138981	7.1801097614412e-128	1.23844071760287e-125
ENSG00000076706	ENSG00000076706	-1.97770381354813	7.20908518125828	2.17483490155357e-127	3.71800536532849e-125
ENSG00000151726	ENSG00000151726	-2.54674112699268	7.40188886333207	5.9986833832415e-126	1.01651373331105e-123
ENSG00000132837	ENSG00000132837	-2.5450650423629	1.15553186746305	8.01816521395554e-126	1.34691230959298e-123
ENSG00000169744	ENSG00000169744	-2.04225170126361	4.18346370173418	2.52804436857941e-124	4.21006561312215e-122
ENSG00000010319	ENSG00000010319	-2.67341906420005	5.3148339167111	3.63582932284549e-124	6.00315819305377e-122
ENSG00000106034	ENSG00000106034	-2.78429079094222	4.25980600246945	3.70001803989413e-124	6.05736851649787e-122
ENSG00000127955	ENSG00000127955	-2.36575418867522	4.31750702584858	4.74801037121773e-124	7.7077365000995e-122
ENSG00000132840	ENSG00000132840	-2.90034814152691	2.98455445550832	5.71699403275771e-124	9.20340756040113e-122
ENSG00000187288	ENSG00000187288	-4.83931573043275	5.08338321598357	6.6793786762226e-122	1.06638212617577e-119
ENSG00000196549	ENSG00000196549	-3.22352440842396	5.70903800585748	1.92432154654352e-121	3.04705275705965e-119
ENSG00000165072	ENSG00000165072	-3.03107249050007	3.17891431649087	2.62403149734792e-121	4.12122280209489e-119
ENSG00000127920	ENSG00000127920	-2.03376455437331	5.13932441671672	9.45749939375856e-121	1.4733868813599e-118
ENSG00000143196	ENSG00000143196	-3.17537794990253	4.51437926954332	1.78533282661332e-120	2.75912476356129e-118
ENSG00000196616	ENSG00000196616	-4.86065423634868	7.34009213015073	2.91721149089587e-120	4.47259456993067e-118
ENSG00000135046	ENSG00000135046	-2.29518868711504	7.74877231294501	4.41065283756758e-120	6.70905445008901e-118
ENSG00000131069	ENSG00000131069	-1.50279943560329	5.72611731564653	4.1536502324127e-119	6.26876681169911e-117
ENSG00000152465	ENSG00000152465	-1.83934766985388	4.25231920732797	9.85813970759912e-119	1.47627552613488e-116
ENSG00000179921	ENSG00000179921	-2.67933449462279	0.286848628273039	1.0438409112471e-118	1.5511475941132e-116
ENSG00000154263	ENSG00000154263	-3.14299762722422	2.12801934615385	6.40006539982644e-118	9.43789796899597e-116
ENSG00000171914	ENSG00000171914	-1.81293539659226	5.45176014181897	8.05056180558614e-118	1.17818752242661e-115
ENSG00000123689	ENSG00000123689	-3.60295511904287	4.96144248642813	5.26033926010217e-117	7.64054389674089e-115
ENSG00000245812	ENSG00000245812	-2.83055987211492	-0.117830343509198	1.0384874028047e-116	1.49712683935681e-114
ENSG00000163431	ENSG00000163431	-2.45128867872205	4.86394149671472	1.28418385191789e-116	1.83761952972961e-114
ENSG00000120907	ENSG00000120907	-4.03993080914888	-0.0625131961877311	6.65735047820943e-116	9.45637474544484e-114
ENSG00000123500	ENSG00000123500	7.31889719821431	7.22816235988902	7.1007548261425e-116	1.00125826081329e-113
ENSG00000108001	ENSG00000108001	-2.50017604887207	2.56784032203143	1.08514399799467e-115	1.51904432994645e-113
ENSG00000286289	ENSG00000286289	-2.90952608111827	0.816891165574651	1.22920182829067e-115	1.7083252459654e-113
ENSG00000133317	ENSG00000133317	-4.14807498183621	2.89955690834641	1.3151148167067e-115	1.81467057351e-113
ENSG00000106823	ENSG00000106823	-2.47050119763217	5.15462614122851	7.12637274076902e-115	9.76363607135999e-113
ENSG00000187824	ENSG00000187824	-2.18849158437403	2.10437911385849	1.06787020476062e-114	1.45275469123701e-112
ENSG00000157654	ENSG00000157654	-1.89620631136033	6.66569533754572	4.31931935263046e-114	5.83500778000806e-112
ENSG00000104888	ENSG00000104888	-2.79738344498364	0.598562871280095	6.63565351514417e-114	8.90191351427466e-112
ENSG00000234456	ENSG00000234456	-2.13121479028619	3.95096963835705	6.73814381459987e-114	8.9770663593407e-112
ENSG00000131016	ENSG00000131016	-2.55286543596782	5.75184803177658	8.20397640288266e-114	1.08550969966361e-111
ENSG00000099953	ENSG00000099953	6.38560625032255	8.76578002737114	9.18070213899591e-114	1.20648165932737e-111
ENSG00000181234	ENSG00000181234	-4.31113004850515	2.85235888333081	1.35789078046069e-113	1.77241446600943e-111
ENSG00000135447	ENSG00000135447	-3.72665885188738	4.58193314699426	6.42000689631731e-113	8.3236035720173e-111
ENSG00000136960	ENSG00000136960	-2.65433450334102	5.7105000712093	1.8942058277686e-112	2.43948454538892e-110
ENSG00000197769	ENSG00000197769	-3.35428188694002	0.298739613562774	1.44990206486784e-111	1.85491444298787e-109
ENSG00000186458	ENSG00000186458	-4.36005183880394	0.795689951052565	2.22373381738858e-111	2.82619012396793e-109
ENSG00000124253	ENSG00000124253	-4.74440877082016	3.23614258237307	3.21082939029899e-111	4.05403935698013e-109
ENSG00000167434	ENSG00000167434	-4.71873457925498	1.41184851844551	7.29794645086281e-111	9.15465776219271e-109
ENSG00000112293	ENSG00000112293	-2.63216505790402	1.62358290551064	7.68218937319266e-111	9.57448608460231e-109
ENSG00000119729	ENSG00000119729	-1.44534847649907	5.89347173184688	1.16882890124702e-110	1.44739978937756e-108
ENSG00000136158	ENSG00000136158	-2.31500830085006	4.22912450644427	1.37162951487204e-110	1.68771585785337e-108
ENSG00000163513	ENSG00000163513	-2.13063314183061	7.27285173435071	1.51050341061807e-110	1.8468294231848e-108
ENSG00000166250	ENSG00000166250	-2.23908706227053	5.44062450318382	3.48650464181929e-110	4.23599350129969e-108
ENSG00000151914	ENSG00000151914	-2.3105749549187	8.22514228357922	3.98806371359423e-110	4.81508842620083e-108
ENSG00000113594	ENSG00000113594	-2.49798350981951	5.81312416840501	7.53938758928714e-110	9.0463285372577e-108
ENSG00000130876	ENSG00000130876	-4.18078152666851	1.47489460975221	8.81259520342897e-110	1.05087477864099e-107
ENSG00000181092	ENSG00000181092	-4.9042468158579	6.68313782445335	1.56039047916721e-109	1.84930204150627e-107
ENSG00000227467	ENSG00000227467	-3.23812053891436	-0.714409364024753	1.58505687684514e-109	1.86708102115209e-107
ENSG00000130176	ENSG00000130176	-2.95686796192512	5.33431482990498	2.68123027545103e-109	3.13915190673715e-107
ENSG00000133401	ENSG00000133401	-2.49693981072792	5.21450746408151	3.93740779965786e-109	4.5820990285416e-107
ENSG00000171596	ENSG00000171596	-3.08866034530582	0.350541917740844	1.0107096917654e-108	1.16915507937269e-106
ENSG00000163884	ENSG00000163884	-3.0054719972055	2.0159840226537	1.09542164295518e-108	1.25960448206e-106
ENSG00000092445	ENSG00000092445	-2.01667763631445	3.9241886628709	1.58543837289626e-108	1.81227801701834e-106
ENSG00000114698	ENSG00000114698	-2.05608159716874	4.83585085629356	9.58865529422812e-108	1.08960966455235e-105
ENSG00000198947	ENSG00000198947	-2.84317208520209	4.84303092009434	1.83811441771246e-107	2.07653183165903e-105
ENSG00000101955	ENSG00000101955	-2.40506094429294	4.67621088844992	1.46740309294503e-106	1.64809842729722e-104
ENSG00000073712	ENSG00000073712	-1.81491002621562	6.04188053840289	2.09953625422564e-106	2.34444169705959e-104
ENSG00000277494	ENSG00000277494	-3.13426798303462	2.85388690972207	2.8254597132503e-106	3.1369098126764e-104
ENSG00000116194	ENSG00000116194	-2.94388265680764	2.60517433590015	7.5756410987036e-106	8.36264198541463e-104
ENSG00000147251	ENSG00000147251	-2.21057394211524	4.82707141862042	3.06146864732488e-105	3.36030973460353e-103
ENSG00000185010	ENSG00000185010	-1.71588193082905	4.57421768875458	4.57137694833175e-105	4.98925762078377e-103
ENSG00000150907	ENSG00000150907	-1.76749543290092	4.88496286276488	6.69104789038233e-104	7.26166646889921e-102
ENSG00000152492	ENSG00000152492	-1.25050014993039	6.24669328794914	7.0041510479971e-104	7.55900502487196e-102
ENSG00000153303	ENSG00000153303	-3.6130743935451	0.0569855176633851	8.79797177167392e-104	9.44217881584426e-102
ENSG00000165478	ENSG00000165478	-4.50177553457129	-0.0782005469368673	2.0554488386809e-103	2.19376578263191e-101
ENSG00000198848	ENSG00000198848	-3.50237758797275	4.6860238282382	4.53307928751867e-103	4.81153987232339e-101
ENSG00000101280	ENSG00000101280	-3.04327346814008	-0.191665444241767	7.92860189701111e-103	8.36965745609075e-101
ENSG00000169252	ENSG00000169252	-2.56173694312414	2.19228434548992	1.68263941909838e-102	1.76658849446427e-100
ENSG00000183722	ENSG00000183722	-1.93471232359383	5.67473523698761	3.17213153211764e-102	3.31239118580803e-100
ENSG00000168874	ENSG00000168874	-2.98913607263855	2.46407882511843	7.67588528852446e-102	7.97219096794169e-100
ENSG00000154262	ENSG00000154262	-2.59046675361866	3.37357700896739	7.80690873793185e-102	8.06491245985922e-100
ENSG00000227591	ENSG00000227591	-3.75113439665284	-0.158087067578712	1.66986236262852e-101	1.7158724000669e-99
ENSG00000147113	ENSG00000147113	-1.92283459212727	4.81229581144418	1.89452771363139e-101	1.93642785036673e-99
ENSG00000184811	ENSG00000184811	-4.70859215552493	5.01934048518345	2.21433884524932e-101	2.25139988486981e-99
ENSG00000062282	ENSG00000062282	-2.97574542187873	5.59207963472805	3.91927229920324e-101	3.96400535476482e-99
ENSG00000184347	ENSG00000184347	-2.34129761696236	6.05312132071598	1.09684154484796e-100	1.10358255017567e-98
ENSG00000144031	ENSG00000144031	-2.38287118453383	0.317333089729556	1.63960987264017e-100	1.64113904246958e-98
ENSG00000116690	ENSG00000116690	-3.76912802391166	3.64837064633849	2.80279354592606e-100	2.79094668660823e-98
ENSG00000265972	ENSG00000265972	-1.95772986589966	9.62629003490791	7.54077370463004e-100	7.47039315005349e-98
ENSG00000189129	ENSG00000189129	-2.78930593018238	3.21418369302508	9.90839518616741e-100	9.76583562277459e-98
ENSG00000018625	ENSG00000018625	-3.82150414104249	3.5718247493818	1.47560702240175e-99	1.44699372887091e-97
ENSG00000116016	ENSG00000116016	-1.80647385507143	7.6887505517806	2.40036383102227e-99	2.34193073170143e-97
ENSG00000287148	ENSG00000287148	-5.00920600825064	0.874250857287277	2.42930535146388e-99	2.35825732560699e-97
ENSG00000139112	ENSG00000139112	-1.42666869219323	5.69161172823099	5.47450360437327e-99	5.28782303146414e-97
ENSG00000067113	ENSG00000067113	-1.68290516856303	4.87291473184467	6.55015320954755e-99	6.29531640308654e-97
ENSG00000164849	ENSG00000164849	-2.32748477342276	0.285614060637991	1.07916162572263e-98	1.03204179632227e-96
ENSG00000081377	ENSG00000081377	-1.78282418870242	4.01392866741119	1.5802890893634e-98	1.50384357774986e-96
ENSG00000119185	ENSG00000119185	-1.20441341846821	5.63479955407284	9.792073004651e-98	9.27270913254157e-96
ENSG00000069122	ENSG00000069122	-1.85137927173831	5.57052879185087	1.16640600412466e-97	1.09915274086245e-95
ENSG00000163297	ENSG00000163297	-1.71508316830008	5.58074398272315	1.1842062606698e-97	1.11050954095239e-95
ENSG00000100077	ENSG00000100077	-1.66338816391218	5.31120905881254	1.47168932112884e-97	1.37343450751531e-95
ENSG00000165092	ENSG00000165092	-2.45672563277492	5.20873793910301	3.13275136691781e-97	2.90954283202491e-95
ENSG00000103647	ENSG00000103647	-2.20522269466658	2.41860352564695	5.97209996330043e-97	5.52004914311185e-95
ENSG00000124440	ENSG00000124440	-3.59591316756292	1.38065413854391	6.58772151051491e-97	6.0600763876251e-95
ENSG00000189221	ENSG00000189221	-3.16477836502897	5.59257830955883	8.79892086619273e-97	8.05580821294366e-95
ENSG00000204767	ENSG00000204767	-3.59349743798235	2.2624290482003	1.31348594662307e-96	1.19688309041814e-94
ENSG00000042445	ENSG00000042445	-1.49749844060059	6.93568220778675	1.71216365202874e-96	1.55284401079301e-94
ENSG00000153823	ENSG00000153823	-2.41868246394571	3.08715341010275	1.81055615103306e-96	1.63440765073162e-94
ENSG00000069431	ENSG00000069431	-2.24791816365296	3.99993829436875	5.51483656735548e-96	4.95514478177549e-94
ENSG00000185432	ENSG00000185432	-1.68373767183313	6.51232969752355	5.60827802738393e-96	5.01577383949087e-94
ENSG00000117650	ENSG00000117650	4.07525962292655	4.65027850902805	9.55287735715092e-96	8.50426197167933e-94
ENSG00000159433	ENSG00000159433	-2.02159133808136	3.65022920817628	1.14982456555625e-95	1.01891334667044e-93
ENSG00000011523	ENSG00000011523	-1.18833373739483	5.29069422262716	3.52278554662201e-95	3.10745073925315e-93
ENSG00000158186	ENSG00000158186	-2.11011759080212	5.633065039376	3.70735063341115e-95	3.25539088801075e-93
ENSG00000154133	ENSG00000154133	-1.75341412844574	4.47599344434971	4.16870032978251e-95	3.64393452356283e-93
ENSG00000133392	ENSG00000133392	-2.9688399071364	6.77247829425277	4.95008415038543e-95	4.30746511788945e-93
ENSG00000138796	ENSG00000138796	-1.24016892324541	6.45938182686081	1.02321973266631e-94	8.86392771105283e-93
ENSG00000144642	ENSG00000144642	-2.06691254374857	4.35725204679264	2.45143268044912e-94	2.11414180896947e-92
ENSG00000262097	ENSG00000262097	-2.55280131897505	-0.0728939411839378	3.9841009492713e-94	3.42066053946769e-92
ENSG00000136826	ENSG00000136826	-2.30879125109191	5.52219829272982	5.16083348929198e-94	4.411370856024e-92
ENSG00000274021	ENSG00000274021	-2.53084695702663	-0.215317951824257	7.02521895418548e-94	5.97855417431521e-92
ENSG00000094963	ENSG00000094963	-3.13879388326235	5.15055876101652	2.65630050254129e-93	2.25063215386371e-91
ENSG00000119771	ENSG00000119771	-2.36322468941251	2.88471814121672	3.01909332183922e-93	2.54684911752358e-91
ENSG00000005249	ENSG00000005249	-2.32037275519662	6.32251642606502	3.71420830630583e-93	3.11961200266156e-91
ENSG00000176194	ENSG00000176194	-4.46836092806718	3.29182520162872	5.82005414982583e-93	4.86717775178941e-91
ENSG00000204136	ENSG00000204136	-2.03977829298629	3.39985240708711	1.11096183920413e-92	9.25067276282129e-91
ENSG00000127241	ENSG00000127241	-3.3862298014981	0.587674588218386	2.2049394665883e-92	1.8281124727705e-90
ENSG00000154721	ENSG00000154721	-1.95747088054457	4.48118262808593	2.59073777987438e-92	2.13879796716296e-90
ENSG00000241684	ENSG00000241684	-2.98852133314271	0.533241986102654	3.12651265790193e-92	2.57012644788721e-90
ENSG00000157617	ENSG00000157617	-1.65392943955934	5.55920778181466	3.94487546655169e-92	3.22911458740871e-90
ENSG00000009950	ENSG00000009950	-3.13168153954394	2.54301270227015	8.04905344714761e-92	6.5608276156961e-90
ENSG00000138722	ENSG00000138722	-3.24125549252421	3.6849320194311	1.33877216911681e-91	1.08665549424364e-89
ENSG00000170153	ENSG00000170153	-2.5919870378599	4.19586758965159	1.4336446936406e-91	1.15879281137026e-89
ENSG00000105609	ENSG00000105609	-2.7298164436712	2.54175187228994	2.05332405314659e-91	1.65275475244525e-89
ENSG00000101049	ENSG00000101049	-2.7793290961143	1.1461784641121	2.57528510687358e-91	2.06428870102007e-89
ENSG00000065534	ENSG00000065534	-2.28652090903198	7.29704689807578	2.8771080950737e-91	2.29669314796007e-89
ENSG00000259347	ENSG00000259347	-3.01927935045624	-1.11712385373128	3.69038702405064e-91	2.93378175023088e-89
ENSG00000126218	ENSG00000126218	-2.41349158331841	1.51781717031374	4.12700133578525e-91	3.26743491002867e-89
ENSG00000025423	ENSG00000025423	3.09449980708155	2.39815161984059	6.42898693839466e-91	5.06919059901666e-89
