logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000169679	3.72210399409741	4.82099718731126	24.5483773646137	5.59349980815159e-101	2.63549339741152e-98	219.640427561748
ENSG00000154736	-3.32269371406884	4.08472035954824	-24.4809584012376	1.47440471140123e-100	6.78155957496403e-98	218.675015893
ENSG00000104415	3.88829612688097	5.32817871917688	24.4074806999731	4.23793835519102e-100	1.90391844524605e-97	217.62335868454
ENSG00000117724	3.51528783388013	6.31531675062943	24.2301573718658	5.40450401103175e-99	2.37282292011617e-96	215.087667523394
ENSG00000077152	3.13139370617095	7.60370650375992	24.2266427168732	5.68401377567582e-99	2.44008395818901e-96	215.037441730977
ENSG00000170145	-2.11929269687211	5.89631425498426	-24.1812686820006	1.08973915193033e-98	4.57643063847609e-96	214.389146958661
ENSG00000123485	3.8624289338227	4.81531965453604	24.0693986411897	5.41788011958399e-98	2.22686400319412e-95	212.791718979235
ENSG00000213186	2.45683184386231	3.79095984527639	24.0462465174894	7.54920143040364e-98	3.03823902567786e-95	212.461293455271
ENSG00000118193	4.1942640745167	3.38675867995302	23.8873467171035	7.34517359511096e-97	2.89579721449701e-94	210.195108313733
ENSG00000143476	3.31838872922162	5.34560552615767	23.699182939241	1.08252676396613e-95	4.17833007257311e-93	207.515342550438
ENSG00000120049	-4.56228629235451	3.15867009935597	-23.6978658731451	1.10308952117832e-95	4.17833007257311e-93	207.496600165434
ENSG00000148180	-2.40519818799462	8.97008406718094	-23.6946011497489	1.15575900316996e-95	4.2936446967764e-93	207.450142729294
ENSG00000126787	3.7428953906528	5.28424779420715	23.6860852309832	1.30527826473863e-95	4.75761613551337e-93	207.328966163742
ENSG00000129757	-2.97984270503152	6.3214457578026	-23.6094428947013	3.89984498855849e-95	1.39513343498098e-92	206.238787324873
ENSG00000171320	3.54220376404978	2.83664958477082	23.5986150125139	4.55174440946018e-95	1.59873815458094e-92	206.084826991487
ENSG00000187730	3.55154060527787	1.56446202740767	23.564337462935	7.42420098901851e-95	2.56108419117606e-92	205.597534351306
ENSG00000109674	3.91209316668366	3.52075137240147	23.5079588325692	1.6595042470101e-94	5.62426369188441e-92	204.79636949443
ENSG00000138640	-2.19561979469821	4.28687749028764	-23.4477098591549	3.9182823193245e-94	1.30505823870191e-91	203.940648604774
ENSG00000261742	4.68047409475231	2.35193291216433	23.420031560083	5.81350406201765e-94	1.90347917745859e-91	203.547686761654
ENSG00000175063	4.10454644410564	8.73849124002169	23.4003972865056	7.69055791804193e-94	2.4761032976789e-91	203.268989463554
ENSG00000090006	-2.34916095415743	5.57912006629965	-23.3569766335852	1.42764013314665e-93	4.45131894854177e-91	202.652835341766
ENSG00000138180	3.58258258753561	5.92959550643651	23.3569282202272	1.42862498607304e-93	4.45131894854177e-91	202.652148476314
ENSG00000170312	3.24116446566054	6.94505891023985	23.3358680689176	1.92835659484773e-93	5.91301471416959e-91	202.353386228467
ENSG00000171848	3.89615678100494	5.3490678078215	23.3105153261593	2.76678301191073e-93	8.3513615975143e-91	201.993805854851
ENSG00000170509	-4.19172107180249	1.26226657260441	-23.2810227095249	4.21035368405125e-93	1.25131711490003e-90	201.575615945105
ENSG00000004776	-4.57699070350467	4.20452491349408	-23.266932353389	5.1453759080438e-93	1.50603593623622e-90	201.375862762818
ENSG00000161649	-6.24212558994616	1.3206299988947	-23.1900449713081	1.5363421396682e-92	4.42971006777764e-90	200.286329875599
ENSG00000131471	-3.73308747601525	5.96315792857479	-23.1135712384181	4.55678305550974e-92	1.2945284568579e-89	199.203452799232
ENSG00000185842	2.34979966724112	3.62367350426489	23.1061680266202	5.06231790395272e-92	1.41730227925447e-89	199.098664991598
ENSG00000088325	3.44231057277773	7.38783581801729	23.0131000934774	1.89873161168881e-91	5.23995675351492e-89	197.781995818106
ENSG00000135451	3.7174519919368	4.1622026585447	23.005522800352	2.11437971175315e-91	5.75289961572498e-89	197.674850164494
ENSG00000138316	3.78472340920284	2.36130913666722	22.9927677603177	2.53407197879519e-91	6.79905590088408e-89	197.494507589616
ENSG00000165810	-4.12565130188454	3.39260947562032	-22.9566219912547	4.23259366603724e-91	1.12007184165079e-88	196.983570337025
ENSG00000137745	6.91491373094271	5.90122114613648	22.9485747556697	4.74455471906455e-91	1.23858524409309e-88	196.869844196956
ENSG00000116678	-2.84193686376485	4.03549083223576	-22.9038150777989	8.95243911092454e-91	2.30590958326454e-88	196.237454986255
ENSG00000181856	-4.00289295594328	1.49942289528523	-22.8885672439335	1.11134390670632e-90	2.82486073549377e-88	196.022091007838
ENSG00000119771	-2.75473828758487	2.02456685775466	-22.8690680584538	1.46526847500924e-90	3.67611122080889e-88	195.746728909375
ENSG00000144031	-2.78214835909329	2.04164089489894	-22.8389202799474	2.2465127657028e-90	5.56386328305726e-88	195.32109899268
ENSG00000168078	3.7364999439557	6.49650415498103	22.8336624062923	2.42030902033614e-90	5.91842147529792e-88	195.246881275196
ENSG00000168477	-4.06632903138981	3.68753477432181	-22.8099458257524	3.3870630845434e-90	8.17891058340117e-88	194.912159259478
ENSG00000174371	3.79748971530955	4.42918268793646	22.778150014715	5.31421720845906e-90	1.26740800040756e-87	194.46354140083
