mirbase_id	ensembl_gene_id
hsa-mir-1913	ENSG00000148411
hsa-mir-1913	ENSG00000141905
hsa-mir-1913	ENSG00000152127
hsa-mir-1913	ENSG00000099904
hsa-mir-1913	ENSG00000167378
hsa-mir-1913	ENSG00000132510
hsa-mir-1973	ENSG00000211584
hsa-mir-1976	ENSG00000095794
hsa-mir-1976	ENSG00000101346
hsa-mir-1976	ENSG00000160991
hsa-mir-1976	ENSG00000122188
hsa-mir-1976	ENSG00000167703
hsa-mir-1976	ENSG00000100344
hsa-mir-1976	ENSG00000135486
hsa-mir-1976	ENSG00000146676
hsa-mir-1976	ENSG00000182240
hsa-mir-1976	ENSG00000116205
hsa-mir-1976	ENSG00000078043
hsa-mir-1976	ENSG00000157741
hsa-mir-1976	ENSG00000101098
hsa-mir-1976	ENSG00000133059
hsa-mir-1976	ENSG00000133030
hsa-mir-1976	ENSG00000272047
hsa-mir-1976	ENSG00000118193
hsa-mir-1976	ENSG00000241878
hsa-mir-1976	ENSG00000130119
hsa-mir-1976	ENSG00000154229
hsa-mir-1976	ENSG00000167378
hsa-mir-1976	ENSG00000175066
hsa-mir-1976	ENSG00000183762
hsa-mir-198	ENSG00000120594
hsa-mir-198	ENSG00000025800
hsa-mir-206	ENSG00000104177
hsa-mir-206	ENSG00000205765
hsa-mir-206	ENSG00000135111
hsa-mir-206	ENSG00000172296
hsa-mir-206	ENSG00000177542
hsa-mir-206	ENSG00000166483
hsa-mir-206	ENSG00000132475
hsa-mir-206	ENSG00000135823
hsa-mir-206	ENSG00000175387
hsa-mir-206	ENSG00000102908
hsa-mir-206	ENSG00000163430
hsa-mir-206	ENSG00000093000
hsa-mir-206	ENSG00000152661
hsa-mir-206	ENSG00000166794
hsa-mir-206	ENSG00000250741
hsa-mir-2110	ENSG00000157933
hsa-mir-2110	ENSG00000144468
hsa-mir-2110	ENSG00000107957
hsa-mir-2110	ENSG00000100030
hsa-mir-2110	ENSG00000185591
hsa-mir-2110	ENSG00000152104
hsa-mir-2110	ENSG00000169083
hsa-mir-2110	ENSG00000094916
hsa-mir-2110	ENSG00000181722
hsa-mir-2113	ENSG00000165338
hsa-mir-2113	ENSG00000162885
hsa-mir-2113	ENSG00000157540
hsa-mir-2113	ENSG00000072133
hsa-mir-2113	ENSG00000184983
hsa-mir-2113	ENSG00000134852
hsa-mir-2113	ENSG00000108091
hsa-mir-2113	ENSG00000118985
hsa-mir-2113	ENSG00000112787
hsa-mir-2113	ENSG00000124788
hsa-mir-2117	ENSG00000135823
hsa-mir-2117	ENSG00000205085
hsa-mir-2278	ENSG00000183741
hsa-mir-2278	ENSG00000067560
hsa-mir-2278	ENSG00000119844
hsa-mir-2278	ENSG00000132932
hsa-mir-2278	ENSG00000126775
hsa-mir-2278	ENSG00000158470
hsa-mir-2278	ENSG00000143590
hsa-mir-2278	ENSG00000169057
hsa-mir-2278	ENSG00000134590
hsa-mir-2278	ENSG00000188803
