logFC	AveExpr	t	P.Value	adj.P.Val	B
hsa-mir-454	1.45383960172419	4.37293151597024	14.0713028670263	1.38496417259162e-40	2.72006963496995e-39	81.0962343546386
hsa-let-7c	-1.53358295604364	8.81318551658315	-13.9171537330064	8.07002974561394e-40	1.52399407888325e-38	79.3435926222698
hsa-mir-23a	-0.898680276191118	8.86984987899744	-13.7016694046148	9.2915945004284e-39	1.68969366655939e-37	76.9140032179735
hsa-mir-493	1.40688164758845	4.13030655192254	13.5062594249525	8.34504618245471e-38	1.46336345556617e-36	74.7317090677234
hsa-mir-181b-2	0.850387580037828	6.11326391158899	12.9883592226479	2.5433455021653e-35	4.30614703987298e-34	69.047163640672
hsa-mir-195	-0.899641405665887	4.73883152716262	-12.9437897409493	4.13245619314382e-35	6.76345330277871e-34	68.5648545825911
hsa-mir-495	-1.42423239314644	3.9012475834029	-12.7623309652816	2.94787187974824e-34	4.66904868695609e-33	66.6127252597335
hsa-mir-190b	3.60563797161388	-Inf	12.6980576078743	1.10403996925391e-33	1.69401132782396e-32	65.4072736250067
hsa-mir-340	0.854006472897556	5.61666481420414	12.6361030036101	1.14379354423354e-33	1.70182615217778e-32	65.2657982320594
hsa-mir-584	-1.15744075057202	5.51198941815577	-12.575655831823	2.18240119732675e-33	3.15164408202186e-32	64.6240304203735
hsa-mir-193a	-1.02677453395127	7.95738181830299	-12.4250669482198	1.08140243064369e-32	1.51705312413157e-31	63.0344398950978
hsa-mir-452	-2.03406098016695	4.76045529475668	-12.2926417855045	4.37008580819989e-32	5.96031147729486e-31	61.6475536566402
hsa-mir-210	1.71232835891242	8.90479173887912	12.0366062016579	6.31572907580559e-31	8.38114317897444e-30	58.9956597571246
hsa-mir-483	-1.68938122188642	-Inf	-11.9153641274581	2.54196060519459e-30	3.28448067671196e-29	57.6175814882545
hsa-mir-4732	-1.21952366035028	-Inf	-12.6831882949801	4.13616832844138e-30	5.20732986990953e-29	57.4164754304772
hsa-mir-511	-1.80473848921843	-Inf	-11.6508330383656	3.40440381469993e-29	4.17890568254416e-28	55.0393140907127
hsa-mir-125b-1	-0.822139065957766	7.62250114250525	-11.5168400322608	1.26580305540422e-28	1.51587634195969e-27	53.7350744702492
hsa-mir-665	-0.779887560046292	-Inf	-11.5017206706189	3.11763262394331e-28	3.55990143803759e-27	52.870231891009
hsa-mir-6511b-1	-1.55180144252435	-Inf	-11.433892622877	3.09999757250707e-28	3.55990143803759e-27	52.8485959009695
hsa-mir-497	-1.16961996317245	6.29112222279548	-11.4241521682555	3.20079247866577e-28	3.57179342505657e-27	52.8146878160036
hsa-mir-3613	1.34847818712471	-Inf	11.3738094553039	5.31146576253544e-28	5.79539930978867e-27	52.3124148702593
hsa-mir-99a	-1.10166856337859	8.45099178728293	-11.2507615214991	1.78910476061031e-27	1.90967486404275e-26	51.1076230604619
hsa-mir-26a-1	-0.939555589863972	7.42479477147891	-11.2289040635925	2.21953354139286e-27	2.31870418898701e-26	50.8938018486811
hsa-mir-590	1.22356945943975	5.88766840943137	11.1216428012238	6.36488582060737e-27	6.51074778732962e-26	49.8489953084717
hsa-mir-326	-1.39651349509933	-Inf	-11.1166560620015	6.99207248893678e-27	7.00634202462849e-26	49.7574071403992
hsa-mir-378c	-1.27845874040691	-Inf	-11.0981785052723	8.18749032832188e-27	8.04011550241208e-26	49.600083199701
hsa-mir-6892	-0.935422248479802	-Inf	-11.0521948674883	1.26509193616553e-26	1.2179610601123e-25	49.1681287422141
hsa-mir-6511b-2	-1.45332845745056	-Inf	-10.812026311411	1.34182608488606e-25	1.26699347630587e-24	46.8285035457978
hsa-mir-1247	-2.27972827367021	-Inf	-10.8094447633123	1.42215611080944e-25	1.3175068875612e-24	46.7721520572583
hsa-mir-374b	-0.834216400253628	5.37321076470808	-10.7814031390718	1.71284616914448e-25	1.55742123898137e-24	46.5846437802337
hsa-mir-26b	-0.839215878342136	6.99850197530207	-10.5117095185463	2.20622185995351e-24	1.96955442406759e-23	44.051953171726
hsa-mir-103a-2	1.28867662069976	9.9019976620072	10.4650389858393	3.4164801857948e-24	2.99552102004508e-23	43.6186712708217
hsa-mir-758	-0.663600365059394	3.22500256048778	-10.4304760229456	4.71872578720344e-24	4.06472695002963e-23	43.2987531611791
hsa-mir-133a-1	-1.29334250209684	-Inf	-10.3738075076461	1.37920053107089e-23	1.16756458751001e-22	42.2597342551682
hsa-mir-1258	-1.53782194377666	-Inf	-10.450320967474	1.44820871838891e-23	1.20520420462535e-22	42.2532561493972
hsa-mir-5683	-1.74618685391804	-Inf	-10.2535940427584	2.48186597318263e-23	2.03099365472112e-22	41.6553439996535
hsa-mir-365b	-0.744587219771323	5.81645254582503	-10.234116516186	2.91010455320688e-23	2.34239563217144e-22	41.4968217484403
hsa-mir-659	1.01972375512208	-Inf	10.2066617828111	3.8198904183181e-23	3.02510676676482e-22	41.238523605598
hsa-mir-365a	-0.764833273813096	5.82656706160643	-10.1350808254715	7.21190813260183e-23	5.62070935413889e-22	40.5981391594248
hsa-mir-218-2	-0.823431662924677	3.8184662706397	-10.1041467057057	9.56224955518624e-23	7.33603833061944e-22	40.3188366727755
hsa-mir-296	-1.18680386191819	-Inf	-10.0536800144381	1.78208480531492e-22	1.34615944524558e-21	39.7100852559985
hsa-mir-103a-1	0.73448813615845	10.2841863109499	9.9382124963539	4.29335786882828e-22	3.19399805090104e-21	38.8321114565059
hsa-mir-1-1	-1.8934091697161	-Inf	-9.91437441756499	8.83001774161451e-22	6.47095330019809e-21	38.1429873486486
hsa-mir-377	-1.2188202888017	-Inf	-9.81566811767355	1.42975992808579e-21	1.03237077160312e-20	37.6467697710666
hsa-mir-191	1.10118088540549	8.82159725879042	9.78504270981309	1.68826841707267e-21	1.20136201852562e-20	37.4770756439341
hsa-mir-301a	1.40612579998191	-Inf	9.72334105450873	2.95754750856391e-21	2.07450832386411e-20	36.9334246519803
hsa-mir-376c	-1.55908780467276	-Inf	-9.70613235031065	3.47153430715861e-21	2.40073710537307e-20	36.7649295156411
hsa-mir-6507	-0.782443200504849	-Inf	-9.73420374385956	3.90285783250072e-21	2.66153221633035e-20	36.6777531189463
hsa-mir-1249	-1.57290546975986	-Inf	-9.64942506781481	6.54042578999361e-21	4.39910830532447e-20	36.1503942482076
hsa-mir-1-2	-1.88468434310828	-Inf	-9.65373173865518	7.92970993706865e-21	5.26146970148744e-20	35.9769042320281
hsa-mir-128-2	0.519174861626897	4.73140527475397	9.46784755773315	2.7283986499775e-20	1.7861916495186e-19	34.7246140946758
hsa-mir-378a	-0.818950415423569	6.06507245558169	-9.42830261454317	3.84036619627057e-20	2.48107868732743e-19	34.386592799948
hsa-mir-299	-1.15010334904806	-Inf	-9.35507385662028	7.76218415685063e-20	4.94965249482293e-19	33.6950076977705
hsa-mir-3199-2	-0.696478390223645	-Inf	-9.36981606098808	1.09420768497165e-19	6.88789709386e-19	33.4026976622646
hsa-mir-130a	-0.716182248955867	4.61241973667467	-9.30442803684889	1.11238766177529e-19	6.91370053078059e-19	33.3351796743842
hsa-mir-574	-0.660400584003041	8.1582358559805	-9.20790627804935	2.52806520489991e-19	1.55160001950732e-18	32.5237907837429
hsa-mir-6715a	-0.915971031690364	-Inf	-9.23652115301978	3.30976288881348e-19	2.00628836840422e-18	32.3135701754651
hsa-mir-6716	-0.709140979221652	-Inf	-9.1733766357094	3.7861754789293e-19	2.23977368693287e-18	32.1417696891395
hsa-mir-450b	1.09800442138986	6.11022527628365	9.16097538663941	3.75899332746331e-19	2.23977368693287e-18	32.1317786301374
hsa-mir-328	-0.916452455170702	6.85904076510581	-9.11356544231175	5.60273093250512e-19	3.27492962840478e-18	31.7374339336123
hsa-mir-3065	1.15092300606056	3.92882057184955	9.09776991702511	6.39716719015424e-19	3.69530481219498e-18	31.6064238921608
