logFC	AveExpr	t	P.Value	adj.P.Val	B
hsa-miR-335-5p	-2.72442429390848	3.40532880563141	-17.2102766236652	3.07637465808915e-57	1.16178384146661e-55	119.313072851707
hsa-miR-182-5p	2.26310819469276	15.0168734590351	16.6337465165792	4.72627356463526e-54	1.68570423805324e-52	111.892385370297
hsa-miR-125b-5p	-1.94519818777717	9.40248464506426	-16.1677506662117	1.62126227102183e-51	5.47815988418955e-50	106.109093343956
hsa-miR-4732-3p	-2.39020398269983	-1.92083592519673	-16.0941510060914	4.04440119465592e-51	1.29825278348455e-49	105.39143415834
hsa-miR-200a-5p	2.5974166778676	8.84876269468177	15.9697364254093	1.8869999914169e-50	5.7688285451888e-49	103.734214336569
hsa-miR-100-5p	-1.92923410943287	11.4747640560356	-15.9643951226749	2.01570827547534e-50	5.88220324025078e-49	103.56957182922
hsa-miR-141-5p	2.44119332929264	9.04396841703887	15.8549369843551	7.77200371784781e-50	2.16940277689491e-48	102.319064057219
hsa-miR-592	3.34079696529201	1.15931907507208	15.8293279406834	1.06499203144258e-49	2.8488536841089e-48	102.145973666065
hsa-miR-1307-5p	3.18816980106119	7.3400911073674	15.7581894427411	2.55133834422436e-49	6.55183686796816e-48	101.18786928586
hsa-miR-429	2.85637660147619	6.18821992998988	15.6460206221842	1.00725312804986e-48	2.48714041618465e-47	99.8431109850048
hsa-let-7c-5p	-2.02116220145621	11.0435622534483	-15.3862469635627	2.37281553171972e-47	5.64202804208911e-46	96.5350885977892
hsa-miR-378c	-1.92027086725873	2.04584720974229	-15.3524272427312	3.5723952354647e-47	8.19099193274407e-46	96.2985353220153
hsa-miR-200c-3p	2.11168755207431	13.1256440352785	15.3064502327769	6.22558536588089e-47	1.37821579479156e-45	95.5947804170484
hsa-miR-337-3p	-2.16106470939294	4.89045066237903	-15.2516283397458	1.20579603738335e-46	2.58040352000036e-45	95.0157927146191
hsa-miR-1258	-2.57887517290681	-0.105039002059618	-15.0529738203679	1.30826688976506e-45	2.7093785265457e-44	92.7570670643933
hsa-miR-10b-3p	-1.53769538633091	3.97753074977449	-14.7155231640961	7.20412719593097e-44	1.44532801868365e-42	88.6883789711712
hsa-miR-200a-3p	2.57770875127317	7.62167035062914	14.6915453921234	9.55880962870712e-44	1.85962296413029e-42	88.4018056731841
hsa-miR-125b-2-3p	-1.93243987755025	3.98333900453206	-14.2193165395269	2.37100961817238e-41	4.4770240437255e-40	82.9175389897772
hsa-miR-195-5p	-1.56774333803891	5.33903834879577	-13.8523126581805	1.5955907400534e-39	2.92676930032652e-38	78.7077366321597
hsa-miR-133a-3p	-2.25129092962032	1.14380477745357	-13.6710839812815	1.24337730193255e-38	2.18647716845131e-37	76.7694949869741
hsa-miR-584-5p	-1.86356816288112	5.07432549892216	-13.6698984517874	1.26011924038471e-38	2.18647716845131e-37	76.6545763884936
hsa-miR-495-3p	-1.72504017972098	2.5280313516785	-13.5916221223049	3.04252760116687e-38	5.14027031565561e-37	75.8509098899791
hsa-miR-200b-3p	2.11941839065972	8.99168454187213	13.5730984530787	3.74648040319276e-38	6.16728312525577e-37	75.5562666981542
hsa-miR-497-5p	-1.52043332398925	4.58757229439259	-13.5270581597313	6.27977470757764e-38	1.00790384056621e-36	75.0767354902569
hsa-miR-511-5p	-2.33716719854131	2.43075664883948	-13.3279112456006	5.78916089322849e-37	9.06497876451875e-36	72.9126751825155
hsa-miR-6507-5p	-1.933289476936	-1.93208361233202	-13.2441363171078	1.46441796471267e-36	2.23846746034652e-35	72.102445687683
hsa-miR-383-5p	-2.77677730254317	-1.06767704343558	-13.2256803255626	1.79571369904165e-36	2.68104231345288e-35	71.878513795321
hsa-miR-378a-3p	-1.72235142955959	7.74876176319064	-13.2046849732243	2.26411331726567e-36	3.303547158374e-35	71.4393831488165
hsa-miR-1247-3p	-2.82840059028015	3.88578550627201	-13.1170286311932	5.94340037364088e-36	8.47925119972765e-35	70.5475795902513
hsa-miR-5683	-2.89050554458313	2.38776194130853	-13.0340994978405	1.47531640345024e-35	2.0590285456849e-34	69.6832053590442
hsa-miR-3199	-1.66384885866849	-0.247065849623185	-13.0320267154418	1.50915286823331e-35	2.06143859873572e-34	69.769807454219
