logFC	AveExpr	t	P.Value	adj.P.Val	B
581	0.378119737924947	-0.167501751936	6.10662444039053	1.78611968056136e-09	8.23847702658929e-09	10.8486120599901
3688	-0.331804862923501	-0.0375714957197466	-5.96942917205455	3.98776638656476e-09	1.81664913165728e-08	10.0691985931921
673	0.774437800197893	-0.222538547984	5.95878797048094	4.24136724367311e-09	1.9086152596529e-08	10.0094045384565
6794	-0.2483363225284	0.08765090171808	-5.92743336447835	5.08356436247667e-09	2.23729748118049e-08	9.83377324902084
998	-0.372131415676544	0.0842075332235205	-5.9271104417854	5.09303491650844e-09	2.23729748118049e-08	9.83196871757345
5925	-0.32739989659098	-0.024295736256	-5.83947198398479	8.4134556436552e-09	3.65242956765738e-08	9.34548517713398
7494	-0.303954372556769	0.062301351504	-5.79494698594563	1.08312049762288e-08	4.6473426002656e-08	9.10081335758859
9319	0.452223052409811	-0.00862156119877395	5.79222851917557	1.09989600468293e-08	4.66507615779311e-08	9.08592938696291
7026	-0.622787883712254	0.128600470132859	-5.7753274813368	1.21001430276223e-08	5.01943633253762e-08	8.99353462962894
983	-0.325354696872993	-0.1114759219152	-5.77523433935658	1.2106499555443e-08	5.01943633253762e-08	8.9930261120083
79679	-0.47389124898126	0.105378873174986	-5.66772996318558	2.20900447661811e-08	9.05691835413424e-08	8.41101652362834
3315	-0.398223592824371	0.00186436179929346	-5.65872095450759	2.32217333582811e-08	9.33709706767782e-08	8.36269084623077
5236	-0.280862760458287	-0.0284637226592681	-5.65827276123654	2.32794832039664e-08	9.33709706767782e-08	8.36028848095321
23192	-0.419313399004933	0.134093431201636	-5.64753293035896	2.47058625689637e-08	9.80264869671784e-08	8.30277315711097
5598	0.430460226601873	0.0423551826070978	5.62315158079861	2.82667996391582e-08	1.10962224115419e-07	8.17256921097846
5747	-0.769615800915792	0.202799775709285	-5.54012454286832	4.4544801420356e-08	1.73021386569593e-07	7.73300083833041
4233	-0.281675646624646	0.0941085122448	-5.53362821507494	4.61473055841316e-08	1.77378705839006e-07	7.69885719468517
6647	-0.326672747347183	-0.00156151922679227	-5.39548524725175	9.7031806431492e-08	3.69120995600212e-07	6.98141447407347
56339	0.475805506812006	-0.178944585835924	5.37856012960277	1.06164924936391e-07	3.97606078076887e-07	6.89464889542875
5886	0.549051412250827	-0.0684276642484235	5.37765738961691	1.06674801435262e-07	3.97606078076887e-07	6.89002803080999
5782	0.351259075597265	-0.00762163267614023	5.30197609457245	1.59017535051567e-07	5.86015468476365e-07	6.50515391281509
8290	-0.462007494551928	0.273546624884061	-5.30032506958684	1.60399897875645e-07	5.86015468476365e-07	6.49681320207838
8737	0.540343218140881	-0.268710366369611	5.26377626700327	1.94161368892838e-07	7.02407305112325e-07	6.31278273104672
2073	0.463898574560868	-0.131511036592	5.23035517417147	2.30989991398162e-07	8.27527250737106e-07	6.1455207445371
1291	-1.00990765102885	0.89163953176	-5.21182038518115	2.5424280644761e-07	9.02073034415079e-07	6.05318059099484
7849	0.463312823324512	0.0281503981750806	5.16789146364202	3.18765125111298e-07	1.12023172539113e-06	5.83552745354021
920	0.751151156089355	0.23988156486381	5.13212074511643	3.82760087420759e-07	1.33243841753076e-06	5.65954464957837
1001	-0.242863968918005	0.0229619223424	-5.10308736436055	4.43680284899686e-07	1.53007500119611e-06	5.51753368898081
4893	-0.269496399234466	0.111103870256	-5.09837692160872	4.54409681710687e-07	1.55256641251151e-06	5.49456335076997
7535	0.915286904863569	0.177071674383972	5.03177107051867	6.35780308351964e-07	2.1523204934117e-06	5.17185259767254
6009	-0.328123760080909	0.0110638115911461	-5.01556432579262	6.89524525492605e-07	2.31304136278883e-06	5.09392117409709
821	0.403267132857522	0.0762312262411298	4.98022786657946	8.22344305298293e-07	2.7337391770727e-06	4.92480731208722
27113	0.428557181406433	0.128772985682601	4.93314295036974	1.03818140090228e-06	3.42043693690125e-06	4.70118393471935
56616	0.541388825031536	-0.41718231568	4.89673968499136	1.24155376720154e-06	4.05427734599442e-06	4.5296383586984
4512	0.991152294283839	-0.161963808518379	4.88728128991592	1.30038236611215e-06	4.20913239557353e-06	4.48525941896208
5347	0.791915237605884	-0.0781847572348076	4.8629194277435	1.4645468514154e-06	4.69928511454159e-06	4.37131920621092
64422	-0.269654815639467	-0.0348874976435033	-4.84225748117529	1.61927509991701e-06	5.15096992990841e-06	4.27509709419247
6464	-0.288960968772543	0.1463243102544	-4.78833474824226	2.10088148885104e-06	6.62585700329943e-06	4.02577135870315
4193	0.277203226196729	-0.051641673632054	4.7749808653641	2.23994923294751e-06	7.00458700811553e-06	3.96442682279965
7405	-0.395142818276667	0.0881519089888592	-4.77246982118004	2.26707083630533e-06	7.02982469408964e-06	3.95290947061268
56246	-0.245143496670059	-0.0142644469438466	-4.7697434787215	2.29687571259052e-06	7.06289281621586e-06	3.94041099009744
3313	0.444585811269276	0.00132297705824683	4.7419558555104	2.62297232172313e-06	7.99898170839534e-06	3.81340186708978
8766	-0.430801812553605	0.354059937872	-4.71447888672084	2.98896852693499e-06	9.04040480687714e-06	3.68849160970336
1027	-0.20484993187717	0.051745121072	-4.68005859517228	3.51710207052979e-06	1.05513062115894e-05	3.53297090361817
