mirnaid	genesymbol
hsa-miR-1262	RNF165
hsa-miR-1262	RNF165
hsa-miR-1263	ANKS1A
hsa-miR-1264	RFX3
hsa-miR-1264	RFX3
hsa-miR-1264	QKI
hsa-miR-1265	GGA3
hsa-miR-1265	GGA3
hsa-miR-1267	HSPA4L
hsa-miR-1267	PRPF38A
hsa-miR-1267	HSPA4L
hsa-miR-1267	FANCC
hsa-miR-1267	FANCC
hsa-miR-1269a	H6PD
hsa-miR-1269a	OPHN1
hsa-miR-1269a	OPHN1
hsa-miR-1269a	OPHN1
hsa-miR-1269a	KCNMB1
hsa-miR-1269b	H6PD
hsa-miR-1269b	OPHN1
hsa-miR-1269b	OPHN1
hsa-miR-1269b	OPHN1
hsa-miR-1269b	KCNMB1
hsa-miR-1270	CNDP1
hsa-miR-1270	SHISA6
hsa-miR-1270	SHISA6
hsa-miR-1270	AHCYL2
hsa-miR-1270	AHCYL2
hsa-miR-1270	UBE2G1
hsa-miR-1270	HNRNPU
hsa-miR-1270	OLA1
hsa-miR-1270	OLA1
hsa-miR-1270	OLA1
hsa-miR-1270	AHCYL2
hsa-miR-1270	AHCYL2
hsa-miR-1270	AHCYL2
hsa-miR-1270	AHCYL2
hsa-miR-1270	AHCYL2
hsa-miR-1270	AHCYL2
hsa-miR-1270	SHISA6
hsa-miR-1270	SHISA6
hsa-miR-1270	SHISA6
hsa-miR-1270	SHISA6
hsa-miR-1272	TMEM167A
hsa-miR-1272	FAM83C
hsa-miR-1272	FAM71F2
hsa-miR-1275	AP2M1
hsa-miR-1275	AP2M1
hsa-miR-1275	ARPP19
hsa-miR-1275	ARPP19
hsa-miR-1275	ARPP19
hsa-miR-1275	CLIP2
hsa-miR-1275	MEN1
hsa-miR-1275	MEN1
hsa-miR-1275	MEN1
hsa-miR-1275	MEN1
hsa-miR-1275	MEN1
hsa-miR-1275	CPSF7
hsa-miR-1275	TAOK1
hsa-miR-1275	C19orf47
hsa-miR-1275	C19orf47
hsa-miR-1275	C19orf47
hsa-miR-1275	UBE2V1
hsa-miR-1275	UBE2V1
hsa-miR-1275	UBE2V1
hsa-miR-1275	SZRD1
hsa-miR-1275	STMN3
hsa-miR-1275	SUV39H1
hsa-miR-1275	UBE2V1
hsa-miR-1275	UBE2V1
hsa-miR-1275	IGF1R
hsa-miR-1275	SLC10A7
hsa-miR-1275	RAB11FIP4
hsa-miR-1275	ARPP19
hsa-miR-1275	ARPP19
hsa-miR-1275	ARPP19
hsa-miR-1275	AP2M1
hsa-miR-1275	SLC10A7
hsa-miR-1275	ORMDL3
hsa-miR-1275	CLIP2
hsa-miR-1275	RAB11FIP4
hsa-miR-1275	MEN1
hsa-miR-1275	MEN1
hsa-miR-1275	ANKRD13B
hsa-miR-1275	B3GALNT2
hsa-miR-1275	UBE2V1
hsa-miR-1275	PEDS1-UBE2V1
hsa-miR-1275	UBTF
hsa-miR-1275	UBTF
hsa-miR-1275	RAP1GAP2
hsa-miR-1275	ARPP19
hsa-miR-1275	ANKRD13B
hsa-miR-1275	UBTF
hsa-miR-1275	UBTF
hsa-miR-1275	RAP1GAP2
hsa-miR-1275	STMN3
hsa-miR-1275	STMN3
hsa-miR-1275	RPP25
hsa-miR-1275	TAOK1
hsa-miR-1275	UBE2V1
hsa-miR-1275	UBE2Z
hsa-miR-1275	UBE2Z
hsa-miR-1275	TAOK1
hsa-miR-1275	TAOK1
hsa-miR-1275	TAOK1
hsa-miR-1275	HOXB5
hsa-miR-1275	PRELP
hsa-miR-1275	SUV39H1
hsa-miR-1275	SUV39H1
hsa-miR-1275	UBE2N
hsa-miR-1275	UBE2N
hsa-miR-1275	AP2M1
hsa-miR-1275	ARPP19
hsa-miR-1275	PHLDA3
hsa-miR-1275	PADI1
hsa-miR-1275	IGF1R
hsa-miR-1275	AP2M1
hsa-miR-1275	SLC10A7
hsa-miR-1275	UBE2V1
hsa-miR-1275	MEX3A
hsa-miR-1275	ACTB
hsa-miR-1275	FBRS
hsa-miR-1275	SZRD1
hsa-miR-1275	CASTOR2
hsa-miR-1275	CASTOR2
hsa-miR-1275	ARHGDIA
hsa-miR-1276	FRS2
hsa-miR-1276	FRS2
hsa-miR-1276	DDX5
hsa-miR-1276	DDX5
hsa-miR-1276	DDX5
hsa-miR-1276	AAK1
hsa-miR-1276	PNISR
hsa-miR-1276	DDX5
hsa-miR-1276	MORF4L2
hsa-miR-1276	AAK1
hsa-miR-1276	MORF4L2
hsa-miR-1276	MORF4L2
hsa-miR-1278	TMEM164
hsa-miR-1281	SPIB
hsa-miR-1286	MGRN1
hsa-miR-1286	MGRN1
hsa-miR-1286	SPATA5
hsa-miR-1286	CMTM4
hsa-miR-1286	SHISA6
hsa-miR-1286	CMTM4
hsa-miR-1286	ATP6AP1
hsa-miR-1286	MGRN1
hsa-miR-1286	MGRN1
hsa-miR-1286	JADE2
hsa-miR-1286	TEAD1
hsa-miR-1286	TEAD1
hsa-miR-1286	JADE2
hsa-miR-1286	JADE2
hsa-miR-1286	JADE2
hsa-miR-1286	MGRN1
hsa-miR-1286	MGRN1
hsa-miR-1286	SHISA6
hsa-miR-1286	SHISA6
hsa-miR-1286	SHISA6
hsa-miR-1286	ATP6AP1
hsa-miR-1290	AKR7A2
hsa-miR-1291	GTPBP2
hsa-miR-1291	CAPNS1
hsa-miR-1291	PPM1F
hsa-miR-1291	PPM1F
hsa-miR-1291	IQSEC3
hsa-miR-1293	FZD6
hsa-miR-1293	FZD6
hsa-miR-1293	FZD6
hsa-miR-1293	TMEM54
hsa-miR-1293	SESTD1
hsa-miR-1293	ZNF445
hsa-miR-1293	ULK2
hsa-miR-1293	ARMCX6
hsa-miR-1293	PTMA
hsa-miR-1293	H2BC21
hsa-miR-1293	TMEM54
hsa-miR-1293	TMEM54
hsa-miR-1293	ARMCX6
hsa-miR-1293	PTMA
hsa-miR-1293	ULK2
hsa-miR-1293	ARMCX6
hsa-miR-1294	KLHDC8B
hsa-miR-1294	RDX
hsa-miR-1294	SURF4
hsa-miR-1294	ABHD2
hsa-miR-1294	ABHD2
hsa-miR-1294	AREL1
hsa-miR-1294	AREL1
hsa-miR-1294	KIAA0930
hsa-miR-1294	KIAA0930
hsa-miR-1294	YOD1
hsa-miR-1294	RDX
hsa-miR-1294	PEX11B
hsa-miR-1294	DVL3
hsa-miR-1294	CLDN12
hsa-miR-1294	CXCL8
hsa-miR-1294	MYC
hsa-miR-1294	NAV1
hsa-miR-1294	CXCL8
hsa-miR-1294	KIAA0930
