mirna_id	value
hsa-miR-200c-3p	ENSG00000081087
hsa-miR-200c-3p	ENSG00000148516
hsa-miR-200c-3p	ENSG00000104365
hsa-miR-200c-3p	ENSG00000088305
hsa-miR-204-5p	ENSG00000185722
hsa-miR-204-5p	ENSG00000124813
hsa-miR-204-5p	ENSG00000106367
hsa-miR-204-5p	ENSG00000152767
hsa-miR-204-5p	ENSG00000196628
hsa-miR-204-5p	ENSG00000152601
hsa-miR-204-5p	ENSG00000118260
hsa-miR-204-5p	ENSG00000157654
hsa-miR-204-5p	ENSG00000165424
hsa-miR-204-5p	ENSG00000116273
hsa-miR-204-5p	ENSG00000186174
hsa-miR-204-5p	ENSG00000107779
hsa-miR-204-5p	ENSG00000134109
hsa-miR-204-5p	ENSG00000198732
hsa-miR-204-5p	ENSG00000124766
hsa-miR-204-5p	ENSG00000121057
hsa-miR-204-5p	ENSG00000008083
hsa-miR-204-5p	ENSG00000132824
hsa-miR-204-5p	ENSG00000171368
hsa-miR-204-5p	ENSG00000136859
hsa-miR-204-5p	ENSG00000181722
hsa-miR-204-5p	ENSG00000113580
hsa-miR-204-5p	ENSG00000115461
hsa-miR-204-5p	ENSG00000221823
hsa-miR-204-5p	ENSG00000203727
hsa-miR-204-5p	ENSG00000166974
hsa-miR-204-5p	ENSG00000082258
hsa-miR-205-5p	ENSG00000124813
hsa-miR-205-5p	ENSG00000176018
hsa-miR-205-5p	ENSG00000188906
hsa-miR-205-5p	ENSG00000108960
hsa-miR-205-5p	ENSG00000169554
hsa-miR-205-5p	ENSG00000107443
hsa-miR-205-5p	ENSG00000135862
hsa-miR-205-5p	ENSG00000118260
hsa-miR-205-5p	ENSG00000101412
hsa-miR-205-5p	ENSG00000170365
hsa-miR-205-5p	ENSG00000196233
hsa-miR-205-5p	ENSG00000073921
hsa-miR-21-5p	ENSG00000134532
hsa-miR-21-5p	ENSG00000116191
hsa-miR-21-5p	ENSG00000152520
hsa-miR-21-5p	ENSG00000141034
hsa-miR-21-5p	ENSG00000182568
hsa-miR-21-5p	ENSG00000162599
hsa-miR-210-3p	ENSG00000127418
hsa-miR-210-3p	ENSG00000086189
hsa-miR-211-5p	ENSG00000185722
hsa-miR-211-5p	ENSG00000152601
hsa-miR-211-5p	ENSG00000157654
hsa-miR-211-5p	ENSG00000165424
hsa-miR-211-5p	ENSG00000116273
hsa-miR-211-5p	ENSG00000156030
hsa-miR-211-5p	ENSG00000107957
hsa-miR-211-5p	ENSG00000261609
hsa-miR-211-5p	ENSG00000198732
hsa-miR-211-5p	ENSG00000170522
hsa-miR-211-5p	ENSG00000179242
hsa-miR-211-5p	ENSG00000132824
hsa-miR-211-5p	ENSG00000171368
hsa-miR-211-5p	ENSG00000124788
hsa-miR-211-5p	ENSG00000121067
hsa-miR-211-5p	ENSG00000115461
hsa-miR-211-5p	ENSG00000171791
hsa-miR-211-5p	ENSG00000197081
hsa-miR-211-5p	ENSG00000221823
hsa-miR-211-5p	ENSG00000181722
hsa-miR-215-5p	ENSG00000137992
hsa-miR-215-5p	ENSG00000147065
hsa-miR-296-5p	ENSG00000137309
hsa-miR-296-5p	ENSG00000077782
hsa-miR-301a-3p	ENSG00000132640
hsa-miR-301a-3p	ENSG00000170113
hsa-miR-301a-3p	ENSG00000163378
hsa-miR-301a-3p	ENSG00000111540
hsa-miR-301a-3p	ENSG00000171862
hsa-miR-301a-3p	ENSG00000164329
hsa-miR-32-5p	ENSG00000149212
hsa-miR-32-5p	ENSG00000167264
hsa-miR-32-5p	ENSG00000205423
hsa-miR-32-5p	ENSG00000154305
hsa-miR-32-5p	ENSG00000113742
hsa-miR-32-5p	ENSG00000137449
hsa-miR-32-5p	ENSG00000107742
hsa-miR-32-5p	ENSG00000155744
hsa-miR-32-5p	ENSG00000121274
hsa-miR-326	ENSG00000113578
hsa-miR-326	ENSG00000123360
hsa-miR-326	ENSG00000182580
hsa-miR-326	ENSG00000167114
hsa-miR-329-3p	ENSG00000070214
hsa-miR-329-3p	ENSG00000100354
hsa-miR-329-3p	ENSG00000076706
hsa-miR-329-3p	ENSG00000124788
hsa-miR-329-3p	ENSG00000181722
hsa-miR-33a-5p	ENSG00000162702
hsa-miR-33a-5p	ENSG00000138029
hsa-miR-33a-5p	ENSG00000149289
hsa-miR-33a-5p	ENSG00000140526
hsa-miR-33a-5p	ENSG00000158528
hsa-miR-33a-5p	ENSG00000119042
hsa-miR-33a-5p	ENSG00000005469
hsa-miR-33a-5p	ENSG00000165029
hsa-miR-33b-5p	ENSG00000198542
hsa-miR-33b-5p	ENSG00000140526
hsa-miR-342-3p	ENSG00000114933
hsa-miR-342-3p	ENSG00000166317
hsa-miR-365a-3p	ENSG00000108256
hsa-miR-365a-3p	ENSG00000132953
hsa-miR-365a-3p	ENSG00000163848
hsa-miR-365b-3p	ENSG00000108256
hsa-miR-365b-3p	ENSG00000132953
hsa-miR-365b-3p	ENSG00000163848
hsa-miR-370-5p	ENSG00000121671
hsa-miR-378a-3p	ENSG00000025800
hsa-miR-379-5p	ENSG00000205765
hsa-miR-381-3p	ENSG00000198740
hsa-miR-381-3p	ENSG00000115421
hsa-miR-381-3p	ENSG00000164463
hsa-miR-429	ENSG00000078177
hsa-miR-429	ENSG00000169946
hsa-miR-429	ENSG00000149187
hsa-miR-433-3p	ENSG00000185658
hsa-miR-433-3p	ENSG00000126267
hsa-miR-449a	ENSG00000211460
hsa-miR-449a	ENSG00000198625
hsa-miR-449a	ENSG00000134323
hsa-miR-449a	ENSG00000175592
hsa-miR-449a	ENSG00000175305
hsa-miR-449a	ENSG00000077274
hsa-miR-449a	ENSG00000072042
hsa-miR-449a	ENSG00000125970
hsa-miR-449a	ENSG00000132589
hsa-miR-449a	ENSG00000141646
hsa-miR-449a	ENSG00000130382
hsa-miR-449a	ENSG00000137845
hsa-miR-449a	ENSG00000138795
hsa-miR-449a	ENSG00000242265
hsa-miR-449a	ENSG00000143190
hsa-miR-454-3p	ENSG00000109118
hsa-miR-454-3p	ENSG00000162441
hsa-miR-454-3p	ENSG00000100697
hsa-miR-454-3p	ENSG00000185621
hsa-miR-454-3p	ENSG00000076770
hsa-miR-454-3p	ENSG00000164329
hsa-miR-454-3p	ENSG00000144724
hsa-miR-454-3p	ENSG00000100784
hsa-miR-454-3p	ENSG00000147862
hsa-miR-454-3p	ENSG00000132824
hsa-miR-454-3p	ENSG00000091831
hsa-miR-454-3p	ENSG00000115170
hsa-miR-454-3p	ENSG00000092964
hsa-miR-454-3p	ENSG00000152785
hsa-miR-486-5p	ENSG00000182985
hsa-miR-486-5p	ENSG00000145675
hsa-miR-486-5p	ENSG00000175387
hsa-miR-486-5p	ENSG00000128708
hsa-miR-493-3p	ENSG00000153187
hsa-miR-493-3p	ENSG00000116754
hsa-miR-493-5p	ENSG00000153147
hsa-miR-494-3p	ENSG00000170144
hsa-miR-494-3p	ENSG00000127947
hsa-miR-494-3p	ENSG00000198815
hsa-miR-495-3p	ENSG00000133030
hsa-miR-497-5p	ENSG00000244687
hsa-miR-497-5p	ENSG00000105810
hsa-miR-497-5p	ENSG00000108061
hsa-miR-497-5p	ENSG00000121989
hsa-miR-497-5p	ENSG00000011426
hsa-miR-497-5p	ENSG00000119403
hsa-miR-497-5p	ENSG00000112576
hsa-miR-497-5p	ENSG00000164070
hsa-miR-497-5p	ENSG00000108306
hsa-miR-497-5p	ENSG00000169641
hsa-miR-497-5p	ENSG00000153914
hsa-miR-497-5p	ENSG00000102921
hsa-miR-497-5p	ENSG00000100330
hsa-miR-497-5p	ENSG00000093000
hsa-miR-497-5p	ENSG00000151893
hsa-miR-497-5p	ENSG00000079102
hsa-miR-497-5p	ENSG00000187231
hsa-miR-497-5p	ENSG00000145675
hsa-miR-497-5p	ENSG00000164045
hsa-miR-497-5p	ENSG00000168214
hsa-miR-497-5p	ENSG00000153714
hsa-miR-497-5p	ENSG00000105778
hsa-miR-497-5p	ENSG00000198517
hsa-miR-497-5p	ENSG00000197535
hsa-miR-497-5p	ENSG00000092853
hsa-miR-497-5p	ENSG00000169032
hsa-miR-497-5p	ENSG00000196632
hsa-miR-497-5p	ENSG00000196428
hsa-miR-497-5p	ENSG00000198799
hsa-miR-497-5p	ENSG00000134698
hsa-miR-497-5p	ENSG00000076641
hsa-miR-497-5p	ENSG00000122257
hsa-miR-497-5p	ENSG00000160551
hsa-miR-497-5p	ENSG00000135164
hsa-miR-497-5p	ENSG00000128965
hsa-miR-497-5p	ENSG00000111300
hsa-miR-497-5p	ENSG00000158711
hsa-miR-497-5p	ENSG00000157933
hsa-miR-497-5p	ENSG00000173267
hsa-miR-497-5p	ENSG00000166233
hsa-miR-497-5p	ENSG00000198898
hsa-miR-497-5p	ENSG00000059804
hsa-miR-497-5p	ENSG00000038295
hsa-miR-497-5p	ENSG00000029364
hsa-miR-497-5p	ENSG00000118971
hsa-miR-497-5p	ENSG00000164916
hsa-miR-497-5p	ENSG00000204116
hsa-miR-497-5p	ENSG00000198925
hsa-miR-497-5p	ENSG00000177125
hsa-miR-497-5p	ENSG00000253719
hsa-miR-497-5p	ENSG00000166483
hsa-miR-497-5p	ENSG00000139697
hsa-miR-497-5p	ENSG00000112242
hsa-miR-503-5p	ENSG00000116667
hsa-miR-503-5p	ENSG00000083896
hsa-miR-503-5p	ENSG00000152332
hsa-miR-503-5p	ENSG00000172667
hsa-miR-503-5p	ENSG00000173275
hsa-miR-503-5p	ENSG00000187231
hsa-miR-503-5p	ENSG00000181852
hsa-miR-503-5p	ENSG00000170779
hsa-miR-503-5p	ENSG00000108256
hsa-miR-503-5p	ENSG00000138685
hsa-miR-503-5p	ENSG00000166483
hsa-miR-503-5p	ENSG00000110851
hsa-miR-503-5p	ENSG00000038295
hsa-miR-503-5p	ENSG00000197535
hsa-miR-503-5p	ENSG00000082153
hsa-miR-93-5p	ENSG00000134508
hsa-miR-760	ENSG00000185722
hsa-miR-93-5p	ENSG00000124120
hsa-miR-93-5p	ENSG00000145495
hsa-miR-93-5p	ENSG00000165322
hsa-miR-93-5p	ENSG00000149212
hsa-miR-96-5p	ENSG00000108946
hsa-miR-93-5p	ENSG00000180667
hsa-miR-93-5p	ENSG00000103264
hsa-miR-93-5p	ENSG00000094975
hsa-miR-93-5p	ENSG00000147862
hsa-miR-760	ENSG00000158882
